ground_truth,PIPLUP_no_merge,PIPLUP,count
[HID] [MT] AppleMultitouchDevice::willTerminate entered,[HID] [MT] <*> entered,[HID] [MT] <*> entered,57
[HID] [MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen() outside of MTTrackpadHIDManager.,[HID] [MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen() outside of MTTrackpadHIDManager.,[HID] [MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen() outside of MTTrackpadHIDManager.,57
[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,57
[IOBluetoothHostController::setConfigState] calling registerService,[IOBluetoothHostController::setConfigState] calling registerService,[IOBluetoothHostController::setConfigState] calling registerService,57
**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = <*> -- <*> ****,**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = <*> -- <*> ****,**** [IOBluetoothHostControllerUSBTransport][start] -- completed -- result = <*> -- <*> ****,57
[<*>] [Adding [<CalDAVAccountRefreshQueueableOperation: <*> Sequence: <*>] to failed operations.],[<*>] [Adding [<CalDAVAccountRefreshQueueableOperation: <*>; Sequence: <*>] to failed operations.],[<*>] [Adding [<CalDAVAccountRefreshQueueableOperation: <*>; Sequence: <*>] to failed operations.],56
"VDCAssistant: Found a camera (<*>) , but was not able to start it up (<*> -- (<*>) successful)","VDCAssistant: Found a camera (<*>) , but was not able to start it up (<*> -- (<*>) successful)","VDCAssistant: Found a camera (<*>) , but was not able to start it up (<*> -- (<*>) successful)",56
"CCDataTap::profileRemoved, Owner: <*> Name: <*>","CCDataTap::profileRemoved, Owner: <*> Name: StateSnapshots","CCDataTap::profileRemoved, Owner: <*> Name: StateSnapshots",55
CCProfileMonitor::freeResources done,CCProfileMonitor::freeResources done,CCProfileMonitor::freeResources done,55
Got an XPC error: Connection invalid,Got an XPC error: Connection invalid,Got an XPC error: Connection invalid,55
"CCDataTap::profileRemoved, Owner: <*> Name: <*>","CCDataTap::profileRemoved, Owner: <*> Name: AssociationEventHistory","CCDataTap::profileRemoved, Owner: <*> Name: AssociationEventHistory",55
CCProfileMonitor::profileCallback Entered token:<*>,CCProfileMonitor::profileCallback Entered token:<*>,CCProfileMonitor::profileCallback Entered token:<*>,54
CCXPCService::setStreamEventHandler Registered for notification callback.,CCXPCService::setStreamEventHandler Registered for notification callback.,CCXPCService::setStreamEventHandler Registered for notification callback.,54
"CoreAnimation: warning, deleted thread with uncommitted CATransaction; set CA_DEBUG_TRANSACTIONS=<*> in environment to log backtraces.","CoreAnimation: warning, deleted thread with uncommitted CATransaction; set CA_DEBUG_TRANSACTIONS=<*> in environment to log backtraces.","CoreAnimation: warning, deleted thread with uncommitted CATransaction; set CA_DEBUG_TRANSACTIONS=<*> in environment to log backtraces.",54
CCProfileMonitor::setStreamEventHandler,CCProfileMonitor::setStreamEventHandler,CCProfileMonitor::setStreamEventHandler,54
AIDA Notification plugin running,AIDA Notification plugin running,AIDA Notification plugin running,50
"Page bounds {{<*>, <*>}, {<*>, <*>}}","Page bounds {{<*>, <*>}, {<*>, <*>}}","Page bounds {{<*>, <*>}, {<*>, <*>}}",49
tcp_connection_destination_handle_tls_close_notify <*> closing socket due to TLS CLOSE_NOTIFY alert,tcp_connection_destination_handle_tls_close_notify <*> closing socket due to TLS CLOSE_NOTIFY alert,tcp_connection_destination_handle_tls_close_notify <*> closing socket due to TLS CLOSE_NOTIFY alert,46
full wake request (reason <*>) <*> ms,full wake request (reason <*>) <*>,full wake request (reason <*>) <*>,46
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp setupLoggerOutput] Agent settings: <KSAgentSettings:<*> bundleID=<*> lastCheck=<*> checkInterval=<*> uiDisplayInterval=<*> sleepInterval=<*> jitterInterval=<*> maxRunInterval=<*> isConsoleUser=<*> ticketStorePath=<*> runMode=<*> daemonUpdateEngineBrokerServiceName=<*> daemonAdministrationServiceName=<*> logEverything=<*> logBufferSize=<*> alwaysPromptForUpdates=<*> productIDToUpdate=(<*>) lastUIDisplayed=(<*>) alwaysShowStatusItem=<*> updateCheckTag=(<*>) printResults=<*> userInitiated=<*>,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp setupLoggerOutput] Agent settings: <KSAgentSettings:<*> bundleID=<*> lastCheck=<*> +<*> checkInterval=<*> uiDisplayInterval=<*> sleepInterval=<*> jitterInterval=<*> maxRunInterval=<*> isConsoleUser=<*> ticketStorePath=<*> runMode=<*> daemonUpdateEngineBrokerServiceName=<*> daemonAdministrationServiceName=<*> logEverything=<*> logBufferSize=<*> alwaysPromptForUpdates=<*> productIDToUpdate=(null) lastUIDisplayed=(null) alwaysShowStatusItem=<*> updateCheckTag=(null) printResults=<*> userInitiated=<*>,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp setupLoggerOutput] Agent settings: <KSAgentSettings:<*> bundleID=<*> lastCheck=<*> +<*> checkInterval=<*> uiDisplayInterval=<*> sleepInterval=<*> jitterInterval=<*> maxRunInterval=<*> isConsoleUser=<*> ticketStorePath=<*> runMode=<*> daemonUpdateEngineBrokerServiceName=<*> daemonAdministrationServiceName=<*> logEverything=<*> logBufferSize=<*> alwaysPromptForUpdates=<*> productIDToUpdate=(null) lastUIDisplayed=(null) alwaysShowStatusItem=<*> updateCheckTag=(null) printResults=<*> userInitiated=<*>,46
Service <*> tried to hijack endpoint <*> from owner: <*>,Service <*> tried to hijack endpoint <*> from owner: <*>,Service <*> tried to hijack endpoint <*> from owner: <*>,44
"no application identifier provided, can't use provisioning profiles [pid=<*>]","no application identifier provided, can't use provisioning profiles [pid=<*>]","no application identifier provided, can't use provisioning profiles [pid=<*>]",43
[ChromeExistion Version:<*>],[ChromeExistion Version:<*>],[ChromeExistion Version:<*>],41
ChromeExistion main linkUrl = (<*>),ChromeExistion main <*> = <*>,ChromeExistion main <*> = <*>,41
ChromeExistion main isBrowserDetect = <*>,ChromeExistion main <*> = <*>,ChromeExistion main <*> = <*>,41
ChromeExistion main isUndetectWebsite = <*>,ChromeExistion main <*> = <*>,ChromeExistion main <*> = <*>,41
url host = <*>,url host = <*>,url host = <*>,41
"ChromeExistion main strSendMsg = {""websitekey"":<*>,""commandkey"":<*>,""browserkey"":<*>}",ChromeExistion main <*> = <*>,ChromeExistion main <*> = <*>,41
the url = <*>,the url = <*>,the url = <*>,41
after trim url = <*>,after trim url = <*>,after trim url = <*>,41
ChromeExistion main isUndetectWithCommand = <*>,ChromeExistion main <*> = <*>,ChromeExistion main <*> = <*>,41
"<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher fetching from URL: ""<*>""","<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher fetching from URL: ""<*>""","<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher beginFetchWithDelegate:] KSOutOfProcessFetcher fetching from URL: ""<*>""",40
"<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: ""<*>""","<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: ""<*>""","<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperDidTerminate:] KSOutOfProcessFetcher fetch ended for URL: ""<*>""",40
<*> ksfetch[<*>] [lvl=<*>] KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.,<*> ksfetch[<*>] [lvl=<*>] KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.,<*> ksfetch[<*>] [lvl=<*>] KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.,40
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched <*> with process id: <*>,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched <*> with process id: <*>,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched <*> with process id: <*>,40
<*> ksfetch[<*>] [lvl=<*>] main() Fetcher received a request: <NSMutableURLRequest: <*> { URL: <*> },<*> ksfetch[<*>] [lvl=<*>] main() Fetcher received a request: <NSMutableURLRequest: <*> { URL: <*> },<*> ksfetch[<*>] [lvl=<*>] main() Fetcher received a request: <NSMutableURLRequest: <*> { URL: <*> },40
<*> ksfetch[<*>] [lvl=<*>] main() Setting up download file handles...,<*> ksfetch[<*>] [lvl=<*>] main() Setting up download file handles...,<*> ksfetch[<*>] [lvl=<*>] main() Setting up download file handles...,40
<*> ksfetch[<*>] [lvl=<*>] main() Fetcher received a download path: <*>,<*> ksfetch[<*>] [lvl=<*>] main() Fetcher received a download path: <*>,<*> ksfetch[<*>] [lvl=<*>] main() Fetcher received a download path: <*>,40
<*> ksfetch[<*>] [lvl=<*>] main() Fetcher is exiting.,<*> ksfetch[<*>] [lvl=<*>] main() Fetcher is exiting.,<*> ksfetch[<*>] [lvl=<*>] main() Fetcher is exiting.,40
<*> ksfetch[<*>] [lvl=<*>] main() ksfetch done fetching.,<*> ksfetch[<*>] [lvl=<*>] main() ksfetch done fetching.,<*> ksfetch[<*>] [lvl=<*>] main() ksfetch done fetching.,40
<*> ksfetch[<*>] [lvl=<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*> { URL: <*> }) to folder:<*>,<*> ksfetch[<*>] [lvl=<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*> { URL: <*> }) to folder:<*>,<*> ksfetch[<*>] [lvl=<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*> { URL: <*> }) to folder:<*>,40
Failed to connect <*> outlet from <*> to <*>: missing setter or instance variable,Failed to connect (<*>) outlet from (<*>) to (<*>): missing setter or instance variable,Failed to connect (<*>) outlet from (<*>) to (<*>): missing setter or instance variable,39
Sandbox: com.apple.WebKit(<*>) deny(<*>) file-read-data <*>,Sandbox: <*>) deny(<*>) file-read-data <*>,Sandbox: <*>) deny(<*>) file-read-data <*>,39
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateEngine(PrivateMethods) updateFinish] KSUpdateEngine update processing complete.,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateEngine(PrivateMethods) updateFinish] KSUpdateEngine update processing complete.,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateEngine(PrivateMethods) updateFinish] KSUpdateEngine update processing complete.,38
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction(PrivateMethods) finishAction] KSUpdateCheckAction found updates: {( )},<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction(PrivateMethods) finishAction] KSUpdateCheckAction found updates: {( )},<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction(PrivateMethods) finishAction] KSUpdateCheckAction found updates: {( )},38
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction running KSServerUpdateRequest: <KSOmahaServerUpdateRequest:<*>,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction running KSServerUpdateRequest: <KSOmahaServerUpdateRequest:<*>,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction running KSServerUpdateRequest: <KSOmahaServerUpdateRequest:<*>,38
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSMultiUpdateAction performAction] KSSilentUpdateAction had no updates to apply.,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSMultiUpdateAction performAction] KSSilentUpdateAction had no updates to apply.,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSMultiUpdateAction performAction] KSSilentUpdateAction had no updates to apply.,38
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSCheckAction performAction] KSCheckAction checking <*> ticket(s).,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSCheckAction performAction] KSCheckAction checking <*> ticket(s).,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSCheckAction performAction] KSCheckAction checking <*> ticket(s).,38
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp(KeystoneDelegate) updateEngineFinishedWithErrors:] Keystone finished: errors=<*>,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp(KeystoneDelegate) updateEngineFinishedWithErrors:] Keystone finished: errors=<*>,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp(KeystoneDelegate) updateEngineFinishedWithErrors:] Keystone finished: errors=<*>,38
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s): {(,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s): {(,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction performAction] KSUpdateCheckAction starting update check for ticket(s): {(,38
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSPrefetchAction performAction] KSPrefetchAction no updates to prefetch.,38
objc[<*>]: Class <*> is implemented in both <*> and <*> One of the two will be used. Which one is undefined.,objc[<*>]: Class <*> is implemented in both <*> and <*> One of the two will be used. Which one is undefined.,objc[<*>]: Class <*> is implemented in both <*> and <*> One of the two will be used. Which one is undefined.,38
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOmahaServer updateInfosForUpdateResponse:updateRequest:infoStore:upToDateTickets:updatedTickets:events:errors:] Response passed CUP validation.,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOmahaServer updateInfosForUpdateResponse:updateRequest:infoStore:upToDateTickets:updatedTickets:events:errors:] Response passed CUP validation.,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOmahaServer updateInfosForUpdateResponse:updateRequest:infoStore:upToDateTickets:updatedTickets:events:errors:] Response passed CUP validation.,36
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction(KSServerUpdateRequestDelegate) serverRequest:fetchedWithResponse:] KSUpdateCheckAction received KSServerUpdateResponse: <KSOmahaServerUpdateResponse:<*>,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction(KSServerUpdateRequestDelegate) serverRequest:fetchedWithResponse:] KSUpdateCheckAction received KSServerUpdateResponse: <KSOmahaServerUpdateResponse:<*>,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateCheckAction(KSServerUpdateRequestDelegate) serverRequest:fetchedWithResponse:] KSUpdateCheckAction received KSServerUpdateResponse: <KSOmahaServerUpdateResponse:<*>,36
no sleep images for <*>,no sleep images for WillPowerOffWithImages,no sleep images for WillPowerOffWithImages,36
<*> ksfetch[<*>] [lvl=<*>] -[FetchDelegate fetcher:finishedWithData:] Fetcher downloaded successfully data of length: <*>,<*> ksfetch[<*>] [lvl=<*>] -[FetchDelegate fetcher:finishedWithData:] Fetcher downloaded successfully data of length: <*>,<*> ksfetch[<*>] [lvl=<*>] -[FetchDelegate fetcher:finishedWithData:] Fetcher downloaded successfully data of length: <*>,36
XPC Error while checking if iCDP is enabled for DSID <*>: Error Domain=<*> Code=<*> <*> UserInfo={NSDebugDescription=<*>},"XPC Error while checking if iCDP is enabled for DSID <*>: Error Domain=<*> Code=<*> ""The connection to service named <*> was invalidated."" UserInfo={NSDebugDescription=<*> connection to service named <*> was invalidated.}","XPC Error while checking if iCDP is enabled for DSID <*>: Error Domain=<*> Code=<*> ""The connection to service named <*> was invalidated."" UserInfo={NSDebugDescription=<*> connection to service named <*> was invalidated.}",35
Daemon connection invalidated!,Daemon connection invalidated!,Daemon connection invalidated!,35
Central manager is not powered on,Central manager is not powered on,Central manager is not powered on,35
Checking iCDP status for DSID <*> (checkWithServer=<*>),Checking iCDP status for DSID <*> (checkWithServer=<*>),Checking iCDP status for DSID <*> (checkWithServer=<*>),35
<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperErrorAvailable:] KSOutOfProcessFetcher helper tool raw STDERR:,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperErrorAvailable:] KSOutOfProcessFetcher helper tool raw STDERR:,<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) helperErrorAvailable:] KSOutOfProcessFetcher helper tool raw STDERR:,35
"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller <*>] Error Domain=<*> Code=<*> <*> UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}","[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller principalPropertiesAtURL:https://xpc_ben%<*>] Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>://xpc_ben%<*>, NSErrorFailingURLKey=<*>://xpc_ben%<*>, _kCFStreamErrorCodeKey=-<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> request timed out.}}, NSErrorFailingURLStringKey=<*>://xpc_ben%<*>, NSErrorFailingURLKey=<*>://xpc_ben%<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=-<*>, NSLocalizedDescription=<*> request timed out.}","[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller principalPropertiesAtURL:https://xpc_ben%<*>] Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>://xpc_ben%<*>, NSErrorFailingURLKey=<*>://xpc_ben%<*>, _kCFStreamErrorCodeKey=-<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> request timed out.}}, NSErrorFailingURLStringKey=<*>://xpc_ben%<*>, NSErrorFailingURLKey=<*>://xpc_ben%<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=-<*>, NSLocalizedDescription=<*> request timed out.}",32
"CFPasteboardCopyDataReturn __CFPasteboardCopyData(CFPasteboardRef, CFIndex, CFIndex, CFStringRef, Boolean, Boolean) : Lock timeout","CFPasteboardCopyDataReturn __CFPasteboardCopyData(CFPasteboardRef, CFIndex, CFIndex, CFStringRef, Boolean, Boolean) : Lock timeout","CFPasteboardCopyDataReturn __CFPasteboardCopyData(CFPasteboardRef, CFIndex, CFIndex, CFStringRef, Boolean, Boolean) : Lock timeout",32
"<*>: scheduler returned <*>; however, this job is <*> seconds overdue. Running anyway.","<*>: scheduler returned false; however, this job is <*> seconds overdue. Running anyway.","<*>: scheduler returned false; however, this job is <*> seconds overdue. Running anyway.",32
CGSConnectionByID: <*> is not a valid connection ID.,CGSConnectionByID: <*> is not a valid connection ID.,CGSConnectionByID: <*> is not a valid connection ID.,31
-[ABAddressBook save] failed. (<*>),-[ABAddressBook save] failed. (<ABAddressBook: <*>),-[ABAddressBook save] failed. (<ABAddressBook: <*>),31
(DiskStore.Normal:<*>) <*>,(DiskStore.Normal:<*>) <*>,(DiskStore.Normal:<*>) <*>,31
"PBRequester failed with Error Error Domain=<*> Code=<*> <*>"" <*> {Error Domain=<*> Code=<*> <*>"" <*> _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, <*> _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}","PBRequester failed with Error Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=-<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> request timed out.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=-<*>, NSLocalizedDescription=<*> request timed out.}","PBRequester failed with Error Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=-<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> request timed out.}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=-<*>, NSLocalizedDescription=<*> request timed out.}",30
<*> PM [AirPlayUIAgent] BecomingInactive: NSWorkspaceWillSleepNotification,<*> PM [AirPlayUIAgent] BecomingInactive: NSWorkspaceWillSleepNotification,<*> PM [AirPlayUIAgent] BecomingInactive: NSWorkspaceWillSleepNotification,29
[<*>] <<< FigDiskCacheRepository >>> fdcr_GetFileStats: stat failed for <*> err = <*>,[<*>] <<< FigDiskCacheRepository >>> fdcr_GetFileStats: stat failed for <*> err = <*>,[<*>] <<< FigDiskCacheRepository >>> fdcr_GetFileStats: stat failed for <*> err = <*>,29
"[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller <*>] Error Domain=<*> Code=<*> <*> UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> <*> UserInfo={NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*>}}, NSErrorFailingURLStringKey=<*>, NSErrorFailingURLKey=<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*>}","[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:https://xpcben%40gmail.com@<*>%40gmail.com/] Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>://xpcben%40gmail.com@<*>%40gmail.com/, NSErrorFailingURLKey=<*>://xpcben%40gmail.com@<*>%40gmail.com/, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=<*>://xpcben%40gmail.com@<*>%40gmail.com/, NSErrorFailingURLKey=<*>://xpcben%40gmail.com@<*>%40gmail.com/, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}","[CardDAVPlugin-ERROR] -getPrincipalInfo:[_controller supportsRequestCompressionAtURL:https://xpcben%40gmail.com@<*>%40gmail.com/] Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=<*>://xpcben%40gmail.com@<*>%40gmail.com/, NSErrorFailingURLKey=<*>://xpcben%40gmail.com@<*>%40gmail.com/, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=<*>://xpcben%40gmail.com@<*>%40gmail.com/, NSErrorFailingURLKey=<*>://xpcben%40gmail.com@<*>%40gmail.com/, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=<*> Internet connection appears to be offline.}",29
[<*>] (Fig) signalled err=<*>,[<*>] (Fig) signalled err=-<*>,[<*>] (Fig) signalled err=-<*>,29
Surface test allowed updates after <*> attempts (<*> ms),Surface test allowed updates after <*> attempts (<*>),Surface test allowed updates after <*> attempts (<*>),29
Surface testing disallowed updates for <*> sequential attempts...,Surface testing disallowed updates for <*> sequential attempts...,Surface testing disallowed updates for <*> sequential attempts...,29
"ignored is_io_service_close(<*>,IOHIDParamUserClient)","ignored is_io_service_close(<*>,IOHIDParamUserClient)","ignored is_io_service_close(<*>,IOHIDParamUserClient)",28
Session <*> destroyed,Session <*> destroyed,Session <*> destroyed,28
Killing auth hosts,Killing auth hosts,Killing auth hosts,28
ARPT: <*>: ARPT: Wake Reason: <*>; Disconnect reason: Class <*> frame received from nonassociated STA,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload; Disconnect reason: Class <*> frame received from nonassociated STA,ARPT: <*>: ARPT: Wake Reason: Wake on Scan offload; Disconnect reason: Class <*> frame received from nonassociated STA,27
.sdef warning for argument <*> of command <*> in suite <*>: <*> is not a valid type name.,.sdef warning for <*> of <*> '<*> Suite': <*> is not a valid type name.,.sdef warning for <*> of <*> '<*> Suite': <*> is not a valid type name.,27
Service only ran for <*> seconds. Pushing respawn out by <*> seconds.,Service only ran for <*> seconds. Pushing respawn out by <*> seconds.,Service only ran for <*> seconds. Pushing respawn out by <*> seconds.,27
[<*>] FigFileForkOpenMainByCFURL signalled err=<*> (<*>) (open failed) at <*> line <*>,[<*>] FigFileForkOpenMainByCFURL signalled err=<*> (errno) (open failed) at <*> line <*>,[<*>] FigFileForkOpenMainByCFURL signalled err=<*> (errno) (open failed) at <*> line <*>,26
"[<*>] <<<< FigFile >>>> FigFileForkOpenMainByCFURL: opening url ""<*>"", path <*> options <*> failed errno <*> Resource temporarily unavailable","[<*>] <<<< FigFile >>>> FigFileForkOpenMainByCFURL: opening url ""file:<*>"", path <*> options <*> failed errno <*> Resource temporarily unavailable","[<*>] <<<< FigFile >>>> FigFileForkOpenMainByCFURL: opening url ""file:<*>"", path <*> options <*> failed errno <*> Resource temporarily unavailable",26
