ground_truth,PIPLUP_no_merge,PIPLUP,count
"Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: <*> status: <*> status: <*> downstreamAckTimeNanos: <*> targets: [<*>, <*>]","Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: -<*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*> targets: [<*>, <*>]","Slow ReadProcessor read fields took <*> (threshold=<*>); ack: seqno: -<*> status: SUCCESS status: ERROR downstreamAckTimeNanos: <*> targets: [<*>, <*>]",9
Assigned from earlierFailedMaps,Assigned from earlierFailedMaps,Assigned from earlierFailedMaps,8
"Assigning container Container: [ContainerId: <*> NodeId: <*> NodeHttpAddress: <*> Resource: <memory:<*>, vCores:<*>, Priority: <*> Token: Token { kind: <*> service: <*> }, ] to fast fail map","Assigning container Container: [ContainerId: <*> NodeId: <*> NodeHttpAddress: <*> Resource: <memory:<*>, vCores:<*>, Priority: <*> Token: Token { kind: ContainerToken, service: <*> }, ] to fast fail map","Assigning container Container: [ContainerId: <*> NodeId: <*> NodeHttpAddress: <*> Resource: <memory:<*>, vCores:<*>, Priority: <*> Token: Token { kind: ContainerToken, service: <*> }, ] to fast fail map",8
Diagnostics report from <*>: AttemptID:<*> Timed out after <*> secs,Diagnostics report from <*>: <*> Timed out after <*> secs,Diagnostics report from <*>: <*> Timed out after <*> secs,7
Merging <*> intermediate segments out of a total of <*>,Merging <*> intermediate segments out of a total of <*>,Merging <*> intermediate segments out of a total of <*>,7
Releasing unassigned and invalid container Container: [ContainerId: <*> NodeId: <*> NodeHttpAddress: <*> Resource: <*> Priority: <*> Token: <*>]. RM may have assignment issues,"Releasing unassigned and invalid container Container: [ContainerId: <*> NodeId: <*> NodeHttpAddress: <*> Resource: <memory:<*>, vCores:<*>, Priority: <*> Token: Token { kind: ContainerToken, service: <*> }, ]. RM may have assignment issues","Releasing unassigned and invalid container Container: [ContainerId: <*> NodeId: <*> NodeHttpAddress: <*> Resource: <memory:<*>, vCores:<*>, Priority: <*> Token: Token { kind: ContainerToken, service: <*> }, ]. RM may have assignment issues",7
"In stop, writing event <*>","In stop, writing event <*>","In stop, writing event <*>",6
Diagnostics report from <*>: java.io.IOException: Spill failed,Diagnostics report from <*>: Error: <*>: Spill failed,Diagnostics report from <*>: Error: <*>: Spill failed,6
Runnning cleanup for the task,Runnning cleanup for the task,Runnning cleanup for the task,6
Successfully connected to <*> for <*>,Successfully connected to <*> for <*>,Successfully connected to <*> for <*>,6
Could not obtain <*> from any node: <*> No live nodes contain block <*> after checking nodes = <*> ignoredNodes = <*> No live nodes contain current block Block locations: <*> Dead nodes: <*> Will get new block locations from namenode and retry...,"Could not obtain <*> from any node: <*>: No live nodes contain block <*> after checking nodes = [<*>, <*>], ignoredNodes = <*> No live nodes contain current block Block locations: <*> nodes: <*> Will get new block locations from namenode and retry...","Could not obtain <*> from any node: <*>: No live nodes contain block <*> after checking nodes = [<*>, <*>], ignoredNodes = <*> No live nodes contain current block Block locations: <*> nodes: <*> Will get new block locations from namenode and retry...",6
"DFS chooseDataNode: got # <*> IOException, will wait for <*> msec.","DFS chooseDataNode: got # <*> IOException, will wait for <*> msec.","DFS chooseDataNode: got # <*> IOException, will wait for <*> msec.",6
Task: <*> - exited : java.io.IOException: There is not enough space on the disk,0,0,6
"Last retry, killing <*>","Last retry, killing <*>","Last retry, killing <*>",5
"Failed to connect to <*> for block, add to deadNodes and continue. java.net.ConnectException: Connection timed out: no further information","Failed to connect to <*> for block, add to deadNodes and continue. <*>: Connection timed out: no further information","Failed to connect to <*> for block, add to deadNodes and continue. <*>: Connection timed out: no further information",5
Process Thread Dump: Communication exception,Process Thread Dump: Communication exception,Process Thread Dump: Communication exception,5
"Unable to parse prior job history, aborting recovery","Unable to parse prior job history, aborting recovery","Unable to parse prior job history, aborting recovery",4
Could not parse the old history file. Will not have old AMinfos,Could not parse the old history file. Will not have old AMinfos,Could not parse the old history file. Will not have old AMinfos,4
Diagnostics report from <*>: Error: java.net.NoRouteToHostException: No Route to Host from <*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: <*>,0,0,4
Error writing History Event: <*>,Error writing History Event: <*>,Error writing History Event: <*>,4
Graceful stop failed,Graceful stop failed,Graceful stop failed,3
Error communicating with RM: Could not contact RM after <*> milliseconds.,Error communicating with RM: Could not contact RM after <*> milliseconds.,Error communicating with RM: Could not contact RM after <*> milliseconds.,3
Task: <*> - exited : java.io.IOException: Spill failed,Task: <*> - exited : <*>: Spill failed,Task: <*> - exited : <*>: Spill failed,3
Exception in getting events,Exception in getting events,Exception in getting events,3
Exception while unregistering,Exception while unregistering,Exception while unregistering,3
Could not contact RM after <*> milliseconds.,Could not contact RM after <*> milliseconds.,Could not contact RM after <*> milliseconds.,3
DataStreamer Exception,DataStreamer Exception,DataStreamer Exception,3
DFS Read,DFS Read,DFS Read,3
JobHistoryEventHandler notified that forceJobCompletion is <*>,JobHistoryEventHandler notified that forceJobCompletion is false,JobHistoryEventHandler notified that forceJobCompletion is false,2
Exception cleaning up: java.net.NoRouteToHostException: No Route to Host from <*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: <*>,Exception cleaning up: <*>: No Route to Host from MININT-<*> to msra-<*> failed on socket timeout exception: <*>: No route to host: no further information; For more details see: http:<*>,Exception cleaning up: <*>: No Route to Host from MININT-<*> to msra-<*> failed on socket timeout exception: <*>: No route to host: no further information; For more details see: http:<*>,2
RMCommunicator notified that shouldUnregistered is: <*>,RMCommunicator notified that shouldUnregistered is: false,RMCommunicator notified that shouldUnregistered is: false,2
Service <*> failed in state <*>; cause: <*>: Attempt to process a enum when a union was expected.,Service <*> failed in state STOPPED; cause: <*>: Attempt to process a enum when a union was expected.,Service <*> failed in state STOPPED; cause: <*>: Attempt to process a enum when a union was expected.,2
Shuffle failed : local error on this node: <*>,Shuffle failed : local error on this node: <*>,Shuffle failed : local error on this node: <*>,2
Diagnostics report from <*>: Error: <*>: error in shuffle in fetcher#<*>,Diagnostics report from attempt_1445182159119_0003_r_000000_0: Error: <*>: error in shuffle in fetcher#<*>,Diagnostics report from attempt_1445182159119_0003_r_000000_0: Error: <*>: error in shuffle in fetcher#<*>,2
Diagnostics report from <*>: Error: <*>: error in shuffle in fetcher#<*>,Diagnostics report from attempt_1445182159119_0014_r_000000_0: Error: <*>: error in shuffle in fetcher#<*>,Diagnostics report from attempt_1445182159119_0014_r_000000_0: Error: <*>: error in shuffle in fetcher#<*>,2
Diagnostics report from <*>: Error: <*>: Could not find any valid local directory for <*>,Diagnostics report from attempt_1445182159119_0002_m_000007_0: Error: <*>: Could not find any valid local directory for <*>,Diagnostics report from attempt_1445182159119_0002_m_000007_0: Error: <*>: Could not find any valid local directory for <*>,2
Exception running child : java.net.NoRouteToHostException: No Route to Host from <*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: <*>,Exception running child : <*>: No Route to Host from MININT-<*> to msra-<*> failed on socket timeout exception: <*>: No route to host: no further information; For more details see: http:<*>,Exception running child : <*>: No Route to Host from MININT-<*> to msra-<*> failed on socket timeout exception: <*>: No route to host: no further information; For more details see: http:<*>,2
Exception running child : org.apache.hadoop.mapreduce.task.reduce.Shuffle$ShuffleError: error in shuffle in fetcher#<*>,Exception running child : <*>: error in shuffle in fetcher#<*>,Exception running child : <*>: error in shuffle in fetcher#<*>,2
Task: <*> - exited : java.net.NoRouteToHostException: No Route to Host from <*> to <*> failed on socket timeout exception: java.net.NoRouteToHostException: No route to host: no further information; For more details see: <*>,0,0,2
Exception running child : <*>: Could not find any valid local directory for <*>,Exception running child : <*>: Could not find any valid local directory for <*>,Exception running child : <*>: Could not find any valid local directory for <*>,1
"IPC Server handler <*> on <*> call statusUpdate(<*>), rpc version=<*>, client version=<*>, methodsFingerPrint=<*> from <*> Call#<*> Retry#<*>: output error","IPC Server handler <*> on <*> call statusUpdate(attempt_1445094324383_0003_m_000000_0, <*>), rpc version=<*>, client version=<*>, methodsFingerPrint=<*> from <*> Call#<*> Retry#<*>: output error","IPC Server handler <*> on <*> call statusUpdate(attempt_1445094324383_0003_m_000000_0, <*>), rpc version=<*>, client version=<*>, methodsFingerPrint=<*> from <*> Call#<*> Retry#<*>: output error",1
Preempting <*>,Preempting attempt_1445087491445_0004_r_000000_1000,Preempting attempt_1445087491445_0004_r_000000_1000,1
"Failed to connect to <*> for block, add to deadNodes and continue. java.net.ConnectException: Connection refused: no further information","Failed to connect to <*> for block, add to deadNodes and continue. <*>: Connection refused: no further information","Failed to connect to <*> for block, add to deadNodes and continue. <*>: Connection refused: no further information",1
Ignoring exception during close for <*>,Ignoring exception during close for <*>,Ignoring exception during close for <*>,1
IPC Server handler <*> on <*> caught an exception,IPC Server handler <*> on <*> caught an exception,IPC Server handler <*> on <*> caught an exception,1
Task: <*> - failed due to FSError: java.io.IOException: There is not enough space on the disk,Task: attempt_1445182159119_0004_m_000000_0 - failed due to FSError: <*>: There is not enough space on the disk,Task: attempt_1445182159119_0004_m_000000_0 - failed due to FSError: <*>: There is not enough space on the disk,1
Error closing writer for JobID: <*>,Error closing writer for JobID: job_1445144423722_0023,Error closing writer for JobID: job_1445144423722_0023,1
Reduce preemption successful <*>,Reduce preemption successful attempt_1445087491445_0004_r_000000_1000,Reduce preemption successful attempt_1445087491445_0004_r_000000_1000,1
Error communicating with RM: Resource Manager doesn't recognize AttemptId: <*>,Error communicating with RM: Resource Manager doesn't recognize AttemptId: application_1445087491445_0007,Error communicating with RM: Resource Manager doesn't recognize AttemptId: application_1445087491445_0007,1
Error communicating with RM: Resource Manager doesn't recognize AttemptId: <*>,Error communicating with RM: Resource Manager doesn't recognize AttemptId: application_1445087491445_0004,Error communicating with RM: Resource Manager doesn't recognize AttemptId: application_1445087491445_0004,1
Reporting fetch failure for <*>.,Reporting fetch failure for attempt_1445087491445_0004_m_000005_0 to jobtracker.,Reporting fetch failure for attempt_1445087491445_0004_m_000005_0 to jobtracker.,1
Found jobId <*> to have not been closed. Will close,Found jobId job_1445144423722_0023 to have not been closed. Will close,Found jobId job_1445144423722_0023 to have not been closed. Will close,1
Communication exception: java.net.ConnectException: Call From <*> to <*> failed on connection exception: java.net.ConnectException: Connection timed out: no further information; For more details see: <*>,Communication exception: <*>: Call From MSRA-<*> to <*> failed on connection exception: <*>: Connection timed out: no further information; For more details see: http:<*>,Communication exception: <*>: Call From MSRA-<*> to <*> failed on connection exception: <*>: Connection timed out: no further information; For more details see: http:<*>,1
Found jobId <*> to have not been closed. Will close,Found jobId job_1445175094696_0003 to have not been closed. Will close,Found jobId job_1445175094696_0003 to have not been closed. Will close,1
Connection retry failed with <*> attempts in <*> seconds,Connection retry failed with <*> attempts in <*> seconds,Connection retry failed with <*> attempts in <*> seconds,1
Task cleanup failed for attempt <*>,Task cleanup failed for attempt attempt_1445144423722_0020_m_000001_0,Task cleanup failed for attempt attempt_1445144423722_0020_m_000001_0,1
Task cleanup failed for attempt <*>,Task cleanup failed for attempt attempt_1445144423722_0020_m_000002_0,Task cleanup failed for attempt attempt_1445144423722_0020_m_000002_0,1
Task: <*> - failed due to FSError: java.io.IOException: There is not enough space on the disk,Task: attempt_1445182159119_0003_m_000000_0 - failed due to FSError: <*>: There is not enough space on the disk,Task: attempt_1445182159119_0003_m_000000_0 - failed due to FSError: <*>: There is not enough space on the disk,1
Failed to connect to <*> with <*> map outputs,Failed to connect to <*> with <*> map outputs,Failed to connect to <*> with <*> map outputs,1
