ground_truth,PIPLUP_no_merge,PIPLUP,count
Security Scaffold <*> initialized,Security Scaffold <*> initialized,Security Scaffold <*> initialized,8
"Serial: <*> driver $Revision: <*> $ <*> ports, IRQ sharing enabled","Serial: <*> driver $Revision: <*> $ <*> ports, IRQ sharing enabled","Serial: <*> driver $Revision: <*> $ <*> ports, IRQ sharing enabled",8
Service telnet failed to start and is deactivated.,Service telnet failed to start and is deactivated.,Service telnet failed to start and is deactivated.,8
PCI: Probing PCI hardware,PCI: Probing PCI hardware,PCI: Probing PCI hardware,8
Started gpm successfully. Entered daemon mode.,Started gpm successfully. Entered daemon mode.,Started gpm successfully. Entered daemon mode.,8
Starting readahead: succeeded,Starting <*>: succeeded,Starting <*>: succeeded,8
Started working: <*> available services,Started working: <*> available services,Started working: <*> available services,8
Starting pcmcia: succeeded,Starting <*>: succeeded,Starting <*>: succeeded,8
Starting hpoj: succeeded,Starting <*>: succeeded,Starting <*>: succeeded,8
Real Time Clock Driver <*>,Real Time Clock Driver v1.<*>,Real Time Clock Driver v1.<*>,8
SELinux: Initializing.,SELinux: Initializing.,SELinux: Initializing.,8
Uniform CD-ROM driver Revision: <*>,Uniform CD-ROM driver Revision: <*>,Uniform CD-ROM driver Revision: <*>,8
POSIX conformance testing by UNIFIX,POSIX conformance testing by UNIFIX,POSIX conformance testing by UNIFIX,8
USB Universal Host Controller Interface driver <*>,USB Universal Host Controller Interface driver v2.<*>,USB Universal Host Controller Interface driver v2.<*>,8
PCI: Probing PCI hardware (bus <*>),PCI: Probing PCI hardware (bus <*>),PCI: Probing PCI hardware (bus <*>),8
PCI: Using IRQ router PIIX/ICH [<*>] at <*>,PCI: Using IRQ router <*> [<*>] at <*>:1f.<*>,PCI: Using IRQ router <*> [<*>] at <*>:1f.<*>,8
Transparent bridge - <*>,Transparent bridge - <*>:1e.<*>,Transparent bridge - <*>:1e.<*>,8
"Total HugeTLB memory allocated, <*>","Total HugeTLB memory allocated, <*>","Total HugeTLB memory allocated, <*>",8
PID hash table entries: <*> (order <*>: <*> bytes),PID hash table entries: <*> (order <*>: <*> bytes),PID hash table entries: <*> (order <*>: <*> bytes),8
PCI: Using configuration type <*>,PCI: Using configuration type <*>,PCI: Using configuration type <*>,8
RAMDISK driver initialized: <*> RAM disks of <*> size <*> blocksize,RAMDISK driver initialized: <*> RAM disks of <*> size <*> blocksize,RAMDISK driver initialized: <*> RAM disks of <*> size <*> blocksize,8
SELinux: Unregistering netfilter hooks,0,0,7
audit: initializing netlink socket (disabled),audit: initializing netlink socket (disabled),audit: initializing netlink socket (disabled),7
Kernel command line: ro root=<*> rhgb quiet,Kernel command line: ro root=<*> rhgb quiet,Kernel command line: ro root=<*> rhgb quiet,7
Bringing up loopback interface: succeeded,Bringing up loopback interface: succeeded,Bringing up loopback interface: succeeded,7
SELinux: Disabled at runtime.,SELinux: Disabled at runtime.,SELinux: Disabled at runtime.,7
Setting network parameters: succeeded,Setting network parameters: succeeded,Setting network parameters: succeeded,7
<*> more authentication failure; logname=<*> uid=<*> euid=<*> tty=<*> ruser=<*> rhost=<*> user=<*>,<*> more authentication failure; logname= <*> euid=<*> tty=<*> ruser= <*> user=<*>,<*> more authentication failure; logname= <*> euid=<*> tty=<*> ruser= <*> user=<*>,6
[<*>] get_user_size+<*>,[<*>] get_user_size+<*>,[<*>] get_user_size+<*>,6
Kernel logging <*> stopped.,Kernel logging (proc) stopped.,Kernel logging (proc) stopped.,5
Kernel log daemon terminating.,Kernel log daemon terminating.,Kernel log daemon terminating.,5
[<*>] dput+<*>,[<*>] dput+<*>,[<*>] dput+<*>,5
[<*>] __call_console_drivers+<*>,[<*>] __call_console_drivers+<*>,[<*>] __call_console_drivers+<*>,5
[<*>] sys_rt_sigaction+<*>,[<*>] sys_rt_sigaction+<*>,[<*>] sys_rt_sigaction+<*>,5
[<*>] sys_rt_sigprocmask+<*>,[<*>] sys_rt_sigprocmask+<*>,[<*>] sys_rt_sigprocmask+<*>,5
[<*>] d_instantiate+<*>,[<*>] d_instantiate+<*>,[<*>] d_instantiate+<*>,5
open(<*>): No such file or directory,open(<*>): No such file or directory,open(<*>): No such file or directory,5
[<*>] d_alloc+<*>,[<*>] d_alloc+<*>,[<*>] d_alloc+<*>,5
Squid Parent: child process <*> exited with status <*>,Squid Parent: child process <*> exited with status <*>,Squid Parent: child process <*> exited with status <*>,4
<*> records in,<*> records in,<*> records in,4
Stopping Canna server: succeeded,Stopping Canna server: succeeded,Stopping Canna server: succeeded,4
<*> records out,<*> records out,<*> records out,4
[<*>] do_proc_dointvec_conv+<*>,[<*>] do_proc_dointvec_conv+<*>,[<*>] do_proc_dointvec_conv+<*>,4
password changed for <*>,password changed for test,password changed for test,4
kernel.core_uses_pid = <*>,kernel.core_uses_pid = <*>,kernel.core_uses_pid = <*>,4
[<*>] check_free_space+<*>,[<*>] check_free_space+<*>,[<*>] check_free_space+<*>,4
EXT3-fs: recovery complete.,EXT3-fs: recovery complete.,EXT3-fs: recovery complete.,4
EXT3-fs: write access will be enabled during recovery.,EXT3-fs: write access will be enabled during recovery.,EXT3-fs: write access will be enabled during recovery.,4
Exiting,Exiting,Exiting,4
ntpd exiting on signal <*>,ntpd exiting on signal <*>,ntpd exiting on signal <*>,4
Stopping squid:,Stopping squid:,Stopping squid:,4
Stopping squid: succeeded,0,0,4
Switching to runlevel: <*>,Switching to runlevel: <*>,Switching to runlevel: <*>,4
shutting down for system reboot,shutting down for system reboot,shutting down for system reboot,4
smartd is exiting (exit status <*>),smartd is exiting (exit status <*>),smartd is exiting (exit status <*>),4
smartd received signal <*>: Terminated,smartd received signal <*>: Terminated,smartd received signal <*>: Terminated,4
sshd -TERM succeeded,sshd -TERM succeeded,sshd -TERM succeeded,4
Received SNMP packet(s) from <*>,Received SNMP packet(s) from <*>,Received SNMP packet(s) from <*>,4
[<*>] proc_dointvec+<*>,[<*>] proc_dointvec+<*>,[<*>] proc_dointvec+<*>,4
"FAILED LOGIN <*> FROM (<*>) FOR , Authentication failure","FAILED LOGIN <*> FROM (null) FOR , Authentication failure","FAILED LOGIN <*> FROM (null) FOR , Authentication failure",4
terminating,terminating,terminating,3
Caught signal <*> un-registering and exiting.,Caught signal <*> un-registering and exiting.,Caught signal <*> un-registering and exiting.,3
Stopping MySQL: succeeded,0,0,3
*** info [client.c(<*>)]:,*** info [startup.c(<*>)]:,*** info [startup.c(<*>)]:,3
[<*>] invalidate_inode_buffers+<*>,[<*>] invalidate_inode_buffers+<*>,[<*>] invalidate_inode_buffers+<*>,3
[<*>] do_rw_proc+<*>,[<*>] do_rw_proc+<*>,[<*>] do_rw_proc+<*>,3
messagebus -TERM succeeded,messagebus -TERM succeeded,messagebus -TERM succeeded,3
"SELinux: initialized (dev , type <*>), uses <*>","SELinux: initialized (dev , type <*>), uses transition SIDs","SELinux: initialized (dev , type <*>), uses transition SIDs",3
audit(<*>): avc: denied <*> for pid=<*> exe=<*> name=<*> dev=<*> ino=<*> scontext=<*> tcontext=<*> tclass=<*>,0,0,3
[<*>] input_unregister_device+<*>,[<*>] input_unregister_device+<*>,[<*>] input_unregister_device+<*>,2
Stopping MySQL: failed,Stopping MySQL: failed,Stopping MySQL: failed,2
Connection from <*> on illegal port,Connection from <*> on illegal port,Connection from <*> on illegal port,2
VM: killing process <*>,VM: killing process sendmail,VM: killing process sendmail,2
net.ipv4.conf.default.rp_filter = <*>,<*> = <*>,<*> = <*>,2
exiting,exiting,exiting,2
bad username [<*>],bad username [ ],bad username [<*>],2
kernel.sysrq = <*>,kernel.sysrq = <*>,kernel.sysrq = <*>,2
"SELinux: initialized (dev , type <*>), uses <*>","SELinux: initialized (dev , type <*>), uses task SIDs","SELinux: initialized (dev , type <*>), uses task SIDs",2
[<*>] __fput+<*>,[<*>] __fput+<*>,[<*>] __fput+<*>,2
shutting down,shutting down,shutting down,2
Client hung up - probable port-scan,Client hung up - probable port-scan,Client hung up - probable port-scan,1
connect from <*>,connect from <*>,connect from <*>,1
Master rebooting...,Master rebooting...,Master rebooting...,1
[<*>] sys_setuid+<*>,[<*>] sys_setuid+<*>,[<*>] sys_setuid+<*>,1
Warning! Could not relabel with <*> not relabeling.,"Warning! Could not relabel with system_u:object_r:devpts_t, not relabeling.","Warning! Could not relabel with system_u:object_r:devpts_t, not relabeling.",1
tty2: invalid character <*> in login name,tty2: invalid character <*> in login name,tty2: invalid character <*> in login name,1
audit: enabled (after initialization),audit: enabled (after initialization),audit: enabled (after initialization),1
[<*>] unmap_region+<*>,[<*>] unmap_region+<*>,[<*>] unmap_region+<*>,1
Unable to get command line from client!,Unable to get command line from client!,Unable to get command line from client!,1
wall: user test broadcasted <*> lines (<*> chars),wall: user test broadcasted <*> lines (<*> chars),wall: user test broadcasted <*> lines (<*> chars),1
[<*>] unmap_vma_list+<*>,[<*>] unmap_vma_list+<*>,[<*>] unmap_vma_list+<*>,1
ANONYMOUS FTP LOGIN FROM <*> (<*>),ANONYMOUS FTP LOGIN FROM <*> (anonymous),ANONYMOUS FTP LOGIN FROM <*> (anonymous),1
hda: status timeout: status=<*> <*>,hda: status timeout: status=<*> { Busy },hda: status timeout: status=<*> { Busy },1
[<*>] module_text_address+<*>,[<*>] module_text_address+<*>,[<*>] module_text_address+<*>,1
[<*>] clear_page_tables+<*>,[<*>] clear_page_tables+<*>,[<*>] clear_page_tables+<*>,1
Connecting at fd <*>,Connecting at fd <*>,Connecting at fd <*>,1
printk: <*> messages suppressed.,printk: <*> messages suppressed.,printk: <*> messages suppressed.,1
rsync error: error in rsync protocol data stream (code <*>) at io.c(<*>),rsync error: error in rsync protocol data stream (code <*>) at io.c(<*>),rsync error: error in rsync protocol data stream (code <*>) at io.c(<*>),1
rsync: connection unexpectedly closed (<*> bytes read so far),rsync: connection unexpectedly closed (<*> bytes read so far),rsync: connection unexpectedly closed (<*> bytes read so far),1
"security: <*> classes, <*> rules","security: <*> classes, <*> rules","security: <*> classes, <*> rules",1
"security: <*> users, <*> roles, <*> types, <*> bools","security: <*> users, <*> roles, <*> types, <*> bools","security: <*> users, <*> roles, <*> types, <*> bools",1
EXT3-fs: <*>: <*> orphan inodes deleted,EXT3-fs: hda2: <*> orphan inodes deleted,EXT3-fs: hda2: <*> orphan inodes deleted,1
SELinux: Completing initialization.,SELinux: Completing initialization.,SELinux: Completing initialization.,1
"SELinux: initialized (dev , type <*>), not configured for labeling","SELinux: initialized (dev , type mqueue), not configured for labeling","SELinux: initialized (dev , type mqueue), not configured for labeling",1
"SELinux: initialized (dev , type <*>), not configured for labeling","SELinux: initialized (dev , type hugetlbfs), not configured for labeling","SELinux: initialized (dev , type hugetlbfs), not configured for labeling",1
[<*>] free_pgtables+<*>,[<*>] free_pgtables+<*>,[<*>] free_pgtables+<*>,1
SELinux: Setting up existing superblocks.,SELinux: Setting up existing superblocks.,SELinux: Setting up existing superblocks.,1
"pam_check_access failed, user does not have proper access: <*>","pam_check_access failed, user does not have proper access: system_u:system_r:kernel_t","pam_check_access failed, user does not have proper access: system_u:system_r:kernel_t",1
hda: dma_timer_expiry: dma status == <*>,hda: dma_timer_expiry: dma status == <*>,hda: dma_timer_expiry: dma status == <*>,1
[smux_accept] accepted fd <*> from <*>,[smux_accept] accepted fd <*> from <*>,[smux_accept] accepted fd <*> from <*>,1
